id_camarao,base,origem,arquivo_origem,amostra,comprimento_cm,cefalotorax_cm,peso_g,imagem_completa
DB1_001,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,1,12.2,NA,33,1
DB1_002,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,2,14.4,NA,33,1
DB1_003,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,3,12.24,NA,31,1
DB1_004,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,4,12.4,NA,34,0
DB1_005,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,5,11,NA,19,0
DB1_006,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,6,12.36,NA,32,1
DB1_007,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,7,10.44,NA,23,1
DB1_008,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,8,11.97,NA,32,1
DB1_009,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,9,13.64,NA,40,1
DB1_010,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,10,12.19,NA,32,1
DB1_011,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,11,12.19,NA,30,1
DB1_012,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,12,13.16,NA,41,1
DB1_013,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,13,11.27,NA,27,1
DB1_014,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,14,12.3,NA,36,1
DB1_015,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,15,10.9,NA,25,1
DB1_016,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,16,12.78,NA,34,1
DB1_017,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,17,12.09,NA,30,1
DB1_018,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,18,11.33,NA,31,1
DB1_019,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,19,12.58,NA,35,1
DB1_020,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,20,11.79,NA,27,0
DB1_021,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,21,10.68,NA,27,1
DB1_022,DB1,fazenda_industrial,DB1_INDUSTRIAL_FARM_1.xlsx,22,11.32,NA,28,0
DB2_001,DB2,fazenda_industrial,DB2_INDUSTRIAL_FARM_2_C1.xlsx,1,10.5,3.32,22,1
DB2_002,DB2,fazenda_industrial,DB2_INDUSTRIAL_FARM_2_C1.xlsx,2,11.5,3.5,29,1
DB2_003,DB2,fazenda_industrial,DB2_INDUSTRIAL_FARM_2_C1.xlsx,3,11,3.19,27,1
DB2_004,DB2,fazenda_industrial,DB2_INDUSTRIAL_FARM_2_C1.xlsx,4,11.5,3.41,32,1
DB2_005,DB2,fazenda_industrial,DB2_INDUSTRIAL_FARM_2_C1.xlsx,5,11.5,3.4,32,1
DB2_006,DB2,fazenda_industrial,DB2_INDUSTRIAL_FARM_2_C1.xlsx,6,11.9,3.58,37,1
DB2_007,DB2,fazenda_industrial,DB2_INDUSTRIAL_FARM_2_C1.xlsx,7,12.2,3.68,38,1
DB2_008,DB2,fazenda_industrial,DB2_INDUSTRIAL_FARM_2_C1.xlsx,8,12.2,3.88,39,1
DB2_009,DB2,fazenda_industrial,DB2_INDUSTRIAL_FARM_2_C1.xlsx,9,11,3.62,30,1
