id_caranguejo,forma_cor,sexo,indice_no_grupo,largura_lobo_frontal_mm,largura_posterior_mm,comprimento_carapaca_mm,largura_carapaca_mm,profundidade_corpo_mm,classe_largura_carapaca
1,azul,macho,1,8.1,6.7,16.1,19,7,largura_carapaca_Q1
2,azul,macho,2,8.8,7.7,18.1,20.8,7.4,largura_carapaca_Q1
3,azul,macho,3,9.2,7.8,19,22.4,7.7,largura_carapaca_Q1
4,azul,macho,4,9.6,7.9,20.1,23.1,8.2,largura_carapaca_Q1
5,azul,macho,5,9.8,8,20.3,23,8.2,largura_carapaca_Q1
6,azul,macho,6,10.8,9,23,26.5,9.8,largura_carapaca_Q1
7,azul,macho,7,11.1,9.9,23.8,27.1,9.8,largura_carapaca_Q1
8,azul,macho,8,11.6,9.1,24.5,28.4,10.4,largura_carapaca_Q1
9,azul,macho,9,11.8,9.6,24.2,27.8,9.7,largura_carapaca_Q1
10,azul,macho,10,11.8,10.5,25.2,29.3,10.3,largura_carapaca_Q1
11,azul,macho,11,12.2,10.8,27.3,31.6,10.9,largura_carapaca_Q2
12,azul,macho,12,12.3,11,26.8,31.5,11.4,largura_carapaca_Q1
13,azul,macho,13,12.6,10,27.7,31.7,11.4,largura_carapaca_Q2
14,azul,macho,14,12.8,10.2,27.2,31.8,10.9,largura_carapaca_Q2
15,azul,macho,15,12.8,10.9,27.4,31.5,11,largura_carapaca_Q1
16,azul,macho,16,12.9,11,26.8,30.9,11.4,largura_carapaca_Q1
17,azul,macho,17,13.1,10.6,28.2,32.3,11,largura_carapaca_Q2
18,azul,macho,18,13.1,10.9,28.3,32.4,11.2,largura_carapaca_Q2
19,azul,macho,19,13.3,11.1,27.8,32.3,11.3,largura_carapaca_Q2
20,azul,macho,20,13.9,11.1,29.2,33.3,12.1,largura_carapaca_Q2
21,azul,macho,21,14.3,11.6,31.3,35.5,12.7,largura_carapaca_Q2
22,azul,macho,22,14.6,11.3,31.9,36.4,13.7,largura_carapaca_Q2
23,azul,macho,23,15,10.9,31.4,36.4,13.2,largura_carapaca_Q2
24,azul,macho,24,15,11.5,32.4,37,13.4,largura_carapaca_Q3
25,azul,macho,25,15,11.9,32.5,37.2,13.6,largura_carapaca_Q3
26,azul,macho,26,15.2,12.1,32.3,36.7,13.6,largura_carapaca_Q2
27,azul,macho,27,15.4,11.8,33,37.5,13.6,largura_carapaca_Q3
28,azul,macho,28,15.7,12.6,35.8,40.3,14.5,largura_carapaca_Q3
29,azul,macho,29,15.9,12.7,34,38.9,14.2,largura_carapaca_Q3
30,azul,macho,30,16.1,11.6,33.8,39,14.4,largura_carapaca_Q3
31,azul,macho,31,16.1,12.8,34.9,40.7,15.7,largura_carapaca_Q3
32,azul,macho,32,16.2,13.3,36,41.7,15.4,largura_carapaca_Q3
33,azul,macho,33,16.3,12.7,35.6,40.9,14.9,largura_carapaca_Q3
34,azul,macho,34,16.4,13,35.7,41.8,15.2,largura_carapaca_Q3
35,azul,macho,35,16.6,13.5,38.1,43.4,14.9,largura_carapaca_Q4
36,azul,macho,36,16.8,12.8,36.2,41.8,14.9,largura_carapaca_Q3
37,azul,macho,37,16.9,13.2,37.3,42.7,15.6,largura_carapaca_Q4
38,azul,macho,38,17.1,12.6,36.4,42,15.1,largura_carapaca_Q3
39,azul,macho,39,17.1,12.7,36.7,41.9,15.6,largura_carapaca_Q3
40,azul,macho,40,17.2,13.5,37.6,43.9,16.1,largura_carapaca_Q4
41,azul,macho,41,17.7,13.6,38.7,44.5,16,largura_carapaca_Q4
42,azul,macho,42,17.9,14.1,39.7,44.6,16.8,largura_carapaca_Q4
43,azul,macho,43,18,13.7,39.2,44.4,16.2,largura_carapaca_Q4
44,azul,macho,44,18.8,15.8,42.1,49,17.8,largura_carapaca_Q4
45,azul,macho,45,19.3,13.5,41.6,47.4,17.8,largura_carapaca_Q4
46,azul,macho,46,19.3,13.8,40.9,46.5,16.8,largura_carapaca_Q4
47,azul,macho,47,19.7,15.3,41.9,48.5,17.8,largura_carapaca_Q4
48,azul,macho,48,19.8,14.2,43.2,49.7,18.6,largura_carapaca_Q4
49,azul,macho,49,19.8,14.3,42.4,48.9,18.3,largura_carapaca_Q4
50,azul,macho,50,21.3,15.7,47.1,54.6,20,largura_carapaca_Q4
51,azul,fêmea,1,7.2,6.5,14.7,17.1,6.1,largura_carapaca_Q1
52,azul,fêmea,2,9,8.5,19.3,22.7,7.7,largura_carapaca_Q1
53,azul,fêmea,3,9.1,8.1,18.5,21.6,7.7,largura_carapaca_Q1
54,azul,fêmea,4,9.1,8.2,19.2,22.2,7.7,largura_carapaca_Q1
55,azul,fêmea,5,9.5,8.2,19.6,22.4,7.8,largura_carapaca_Q1
56,azul,fêmea,6,9.8,8.9,20.4,23.9,8.8,largura_carapaca_Q1
57,azul,fêmea,7,10.1,9.3,20.9,24.4,8.4,largura_carapaca_Q1
58,azul,fêmea,8,10.3,9.5,21.3,24.7,8.9,largura_carapaca_Q1
59,azul,fêmea,9,10.4,9.7,21.7,25.4,8.3,largura_carapaca_Q1
60,azul,fêmea,10,10.8,9.5,22.5,26.3,9.1,largura_carapaca_Q1
61,azul,fêmea,11,11,9.8,22.5,25.7,8.2,largura_carapaca_Q1
62,azul,fêmea,12,11.2,10,22.8,26.9,9.4,largura_carapaca_Q1
63,azul,fêmea,13,11.5,11,24.7,29.2,10.1,largura_carapaca_Q1
64,azul,fêmea,14,11.6,11,24.6,28.5,10.4,largura_carapaca_Q1
65,azul,fêmea,15,11.6,11.4,23.7,27.7,10,largura_carapaca_Q1
66,azul,fêmea,16,11.7,10.6,24.9,28.5,10.4,largura_carapaca_Q1
67,azul,fêmea,17,11.9,11.4,26,30.1,10.9,largura_carapaca_Q1
68,azul,fêmea,18,12,10.7,24.6,28.9,10.5,largura_carapaca_Q1
69,azul,fêmea,19,12,11.1,25.4,29.2,11,largura_carapaca_Q1
70,azul,fêmea,20,12.6,12.2,26.1,31.6,11.2,largura_carapaca_Q2
71,azul,fêmea,21,12.8,11.7,27.1,31.2,11.9,largura_carapaca_Q1
72,azul,fêmea,22,12.8,12.2,26.7,31.1,11.1,largura_carapaca_Q1
73,azul,fêmea,23,12.8,12.2,27.9,31.9,11.5,largura_carapaca_Q2
74,azul,fêmea,24,13,11.4,27.3,31.8,11.3,largura_carapaca_Q2
75,azul,fêmea,25,13.1,11.5,27.6,32.6,11.1,largura_carapaca_Q2
76,azul,fêmea,26,13.2,12.2,27.9,32.1,11.5,largura_carapaca_Q2
77,azul,fêmea,27,13.4,11.8,28.4,32.7,11.7,largura_carapaca_Q2
78,azul,fêmea,28,13.7,12.5,28.6,33.8,11.9,largura_carapaca_Q2
79,azul,fêmea,29,13.9,13,30,34.9,13.1,largura_carapaca_Q2
80,azul,fêmea,30,14.7,12.5,30.1,34.7,12.5,largura_carapaca_Q2
81,azul,fêmea,31,14.9,13.2,30.1,35.6,12,largura_carapaca_Q2
82,azul,fêmea,32,15,13.8,31.7,36.9,14,largura_carapaca_Q3
83,azul,fêmea,33,15,14.2,32.8,37.4,14,largura_carapaca_Q3
84,azul,fêmea,34,15.1,13.3,31.8,36.3,13.5,largura_carapaca_Q2
85,azul,fêmea,35,15.1,13.5,31.9,37,13.8,largura_carapaca_Q3
86,azul,fêmea,36,15.1,13.8,31.7,36.6,13,largura_carapaca_Q2
87,azul,fêmea,37,15.2,14.3,33.9,38.5,14.7,largura_carapaca_Q3
88,azul,fêmea,38,15.3,14.2,32.6,38.3,13.8,largura_carapaca_Q3
89,azul,fêmea,39,15.4,13.3,32.4,37.6,13.8,largura_carapaca_Q3
90,azul,fêmea,40,15.5,13.8,33.4,38.7,14.7,largura_carapaca_Q3
91,azul,fêmea,41,15.6,13.9,32.8,37.9,13.4,largura_carapaca_Q3
92,azul,fêmea,42,15.6,14.7,33.9,39.5,14.3,largura_carapaca_Q3
93,azul,fêmea,43,15.7,13.9,33.6,38.5,14.1,largura_carapaca_Q3
94,azul,fêmea,44,15.8,15,34.5,40.3,15.3,largura_carapaca_Q3
95,azul,fêmea,45,16.2,15.2,34.5,40.1,13.9,largura_carapaca_Q3
96,azul,fêmea,46,16.4,14,34.2,39.8,15.2,largura_carapaca_Q3
97,azul,fêmea,47,16.7,16.1,36.6,41.9,15.4,largura_carapaca_Q3
98,azul,fêmea,48,17.4,16.9,38.2,44.1,16.6,largura_carapaca_Q4
99,azul,fêmea,49,17.5,16.7,38.6,44.5,17,largura_carapaca_Q4
100,azul,fêmea,50,19.2,16.5,40.9,47.9,18.1,largura_carapaca_Q4
101,laranja,macho,1,9.1,6.9,16.7,18.6,7.4,largura_carapaca_Q1
102,laranja,macho,2,10.2,8.2,20.2,22.2,9,largura_carapaca_Q1
103,laranja,macho,3,10.7,8.6,20.7,22.7,9.2,largura_carapaca_Q1
104,laranja,macho,4,11.4,9,22.7,24.8,10.1,largura_carapaca_Q1
105,laranja,macho,5,12.5,9.4,23.2,26,10.8,largura_carapaca_Q1
106,laranja,macho,6,12.5,9.4,24.2,27,11.2,largura_carapaca_Q1
107,laranja,macho,7,12.7,10.4,26,28.8,12.1,largura_carapaca_Q1
108,laranja,macho,8,13.2,11,27.1,30.4,12.2,largura_carapaca_Q1
109,laranja,macho,9,13.4,10.1,26.6,29.6,12,largura_carapaca_Q1
110,laranja,macho,10,13.7,11,27.5,30.5,12.2,largura_carapaca_Q1
111,laranja,macho,11,14,11.5,29.2,32.2,13.1,largura_carapaca_Q2
112,laranja,macho,12,14.1,10.4,28.9,31.8,13.5,largura_carapaca_Q2
113,laranja,macho,13,14.1,10.5,29.1,31.6,13.1,largura_carapaca_Q2
114,laranja,macho,14,14.1,10.7,28.7,31.9,13.3,largura_carapaca_Q2
115,laranja,macho,15,14.2,10.6,28.7,31.7,12.9,largura_carapaca_Q2
116,laranja,macho,16,14.2,10.7,27.8,30.9,12.7,largura_carapaca_Q1
117,laranja,macho,17,14.2,11.3,29.2,32.2,13.5,largura_carapaca_Q2
118,laranja,macho,18,14.6,11.3,29.9,33.5,12.8,largura_carapaca_Q2
119,laranja,macho,19,14.7,11.1,29,32.1,13.1,largura_carapaca_Q2
120,laranja,macho,20,15.1,11.4,30.2,33.3,14,largura_carapaca_Q2
121,laranja,macho,21,15.1,11.5,30.9,34,13.9,largura_carapaca_Q2
122,laranja,macho,22,15.4,11.1,30.2,33.6,13.5,largura_carapaca_Q2
123,laranja,macho,23,15.7,12.2,31.7,34.2,14.2,largura_carapaca_Q2
124,laranja,macho,24,16.2,11.8,32.3,35.3,14.7,largura_carapaca_Q2
125,laranja,macho,25,16.3,11.6,31.6,34.2,14.5,largura_carapaca_Q2
126,laranja,macho,26,17.1,12.6,35,38.9,15.7,largura_carapaca_Q3
127,laranja,macho,27,17.4,12.8,36.1,39.5,16.2,largura_carapaca_Q3
128,laranja,macho,28,17.5,12,34.4,37.3,15.3,largura_carapaca_Q3
129,laranja,macho,29,17.5,12.7,34.6,38.4,16.1,largura_carapaca_Q3
130,laranja,macho,30,17.8,12.5,36,39.8,16.7,largura_carapaca_Q3
131,laranja,macho,31,17.9,12.9,36.9,40.9,16.5,largura_carapaca_Q3
132,laranja,macho,32,18,13.4,36.7,41.3,17.1,largura_carapaca_Q3
133,laranja,macho,33,18.2,13.7,38.8,42.7,17.2,largura_carapaca_Q4
134,laranja,macho,34,18.4,13.4,37.9,42.2,17.7,largura_carapaca_Q4
135,laranja,macho,35,18.6,13.4,37.8,41.9,17.3,largura_carapaca_Q3
136,laranja,macho,36,18.6,13.5,36.9,40.2,17,largura_carapaca_Q3
137,laranja,macho,37,18.8,13.4,37.2,41.1,17.5,largura_carapaca_Q3
138,laranja,macho,38,18.8,13.8,39.2,43.3,17.9,largura_carapaca_Q4
139,laranja,macho,39,19.4,14.1,39.1,43.2,17.8,largura_carapaca_Q4
140,laranja,macho,40,19.4,14.4,39.8,44.3,17.9,largura_carapaca_Q4
141,laranja,macho,41,20.1,13.7,40.6,44.5,18,largura_carapaca_Q4
142,laranja,macho,42,20.6,14.4,42.8,46.5,19.6,largura_carapaca_Q4
143,laranja,macho,43,21,15,42.9,47.2,19.4,largura_carapaca_Q4
144,laranja,macho,44,21.5,15.5,45.5,49.7,20.9,largura_carapaca_Q4
145,laranja,macho,45,21.6,15.4,45.7,49.7,20.6,largura_carapaca_Q4
146,laranja,macho,46,21.6,14.8,43.4,48.2,20.1,largura_carapaca_Q4
147,laranja,macho,47,21.9,15.7,45.4,51,21.1,largura_carapaca_Q4
148,laranja,macho,48,22.1,15.8,44.6,49.6,20.5,largura_carapaca_Q4
149,laranja,macho,49,23,16.8,47.2,52.1,21.5,largura_carapaca_Q4
150,laranja,macho,50,23.1,15.7,47.6,52.8,21.6,largura_carapaca_Q4
151,laranja,fêmea,1,10.7,9.7,21.4,24,9.8,largura_carapaca_Q1
