id_peixe,levantamento,comprimento_cm,idade_anos,tem_idade_atribuida,classe_comprimento
1,KAH8810,11,1,TRUE,comprimento_Q1
2,KAH8810,11,1,TRUE,comprimento_Q1
3,KAH8810,11,1,TRUE,comprimento_Q1
4,KAH8810,11,1,TRUE,comprimento_Q1
5,KAH8810,11,1,TRUE,comprimento_Q1
6,KAH8810,11,1,TRUE,comprimento_Q1
7,KAH8810,11,1,TRUE,comprimento_Q1
8,KAH8810,11,1,TRUE,comprimento_Q1
9,KAH8810,11,1,TRUE,comprimento_Q1
10,KAH8810,11,1,TRUE,comprimento_Q1
11,KAH8810,11,1,TRUE,comprimento_Q1
12,KAH8810,11,1,TRUE,comprimento_Q1
13,KAH8810,11,1,TRUE,comprimento_Q1
14,KAH8810,11,1,TRUE,comprimento_Q1
15,KAH8810,11,1,TRUE,comprimento_Q1
16,KAH8810,11,1,TRUE,comprimento_Q1
17,KAH8810,11,1,TRUE,comprimento_Q1
18,KAH8810,11,2,TRUE,comprimento_Q1
19,KAH8810,12,1,TRUE,comprimento_Q1
20,KAH8810,12,1,TRUE,comprimento_Q1
21,KAH8810,12,1,TRUE,comprimento_Q1
22,KAH8810,12,1,TRUE,comprimento_Q1
23,KAH8810,12,1,TRUE,comprimento_Q1
24,KAH8810,12,1,TRUE,comprimento_Q1
25,KAH8810,12,1,TRUE,comprimento_Q1
26,KAH8810,12,1,TRUE,comprimento_Q1
27,KAH8810,12,1,TRUE,comprimento_Q1
28,KAH8810,12,1,TRUE,comprimento_Q1
29,KAH8810,12,1,TRUE,comprimento_Q1
30,KAH8810,12,1,TRUE,comprimento_Q1
31,KAH8810,12,1,TRUE,comprimento_Q1
32,KAH8810,12,1,TRUE,comprimento_Q1
33,KAH8810,12,2,TRUE,comprimento_Q1
34,KAH8810,13,1,TRUE,comprimento_Q1
35,KAH8810,13,1,TRUE,comprimento_Q1
36,KAH8810,13,1,TRUE,comprimento_Q1
37,KAH8810,13,1,TRUE,comprimento_Q1
38,KAH8810,13,1,TRUE,comprimento_Q1
39,KAH8810,13,1,TRUE,comprimento_Q1
40,KAH8810,13,1,TRUE,comprimento_Q1
41,KAH8810,13,1,TRUE,comprimento_Q1
42,KAH8810,13,1,TRUE,comprimento_Q1
43,KAH8810,13,2,TRUE,comprimento_Q1
44,KAH8810,13,2,TRUE,comprimento_Q1
45,KAH8810,13,2,TRUE,comprimento_Q1
46,KAH8810,13,2,TRUE,comprimento_Q1
47,KAH8810,13,2,TRUE,comprimento_Q1
48,KAH8810,13,2,TRUE,comprimento_Q1
49,KAH8810,14,2,TRUE,comprimento_Q1
50,KAH8810,14,2,TRUE,comprimento_Q1
51,KAH8810,14,2,TRUE,comprimento_Q1
52,KAH8810,14,2,TRUE,comprimento_Q1
53,KAH8810,14,2,TRUE,comprimento_Q1
54,KAH8810,14,2,TRUE,comprimento_Q1
55,KAH8810,14,2,TRUE,comprimento_Q1
56,KAH8810,14,2,TRUE,comprimento_Q1
57,KAH8810,14,2,TRUE,comprimento_Q1
58,KAH8810,14,2,TRUE,comprimento_Q1
59,KAH8810,14,2,TRUE,comprimento_Q1
