id_peixe,id_lance_rede,codigo_local,local_regional,grade_amostral,ano,comprimento_total_mm,peso_g,sexo,maturidade,idade_anos,classe_comprimento
1,2003001,1,Toledo a Huron,940,2003,360,460,macho,maduro,2,comprimento_Q1
2,2003001,1,Toledo a Huron,940,2003,371,571,macho,maduro,2,comprimento_Q1
3,2003001,1,Toledo a Huron,940,2003,375,507,macho,maduro,2,comprimento_Q1
4,2003001,1,Toledo a Huron,940,2003,375,584,macho,maduro,2,comprimento_Q1
5,2003001,1,Toledo a Huron,940,2003,375,537,macho,maduro,2,comprimento_Q1
6,2003001,1,Toledo a Huron,940,2003,376,553,macho,maduro,2,comprimento_Q1
7,2003001,1,Toledo a Huron,940,2003,379,500,fêmea,imaturo,2,comprimento_Q1
8,2003001,1,Toledo a Huron,940,2003,379,522,macho,maduro,2,comprimento_Q1
9,2003001,1,Toledo a Huron,940,2003,380,525,macho,maduro,2,comprimento_Q1
10,2003001,1,Toledo a Huron,940,2003,380,543,macho,maduro,2,comprimento_Q1
11,2003001,1,Toledo a Huron,940,2003,381,511,macho,maduro,2,comprimento_Q1
12,2003001,1,Toledo a Huron,940,2003,381,543,macho,maduro,2,comprimento_Q1
13,2003001,1,Toledo a Huron,940,2003,382,563,fêmea,imaturo,2,comprimento_Q1
14,2003001,1,Toledo a Huron,940,2003,384,551,macho,maduro,2,comprimento_Q1
15,2003001,1,Toledo a Huron,940,2003,385,586,macho,maduro,2,comprimento_Q1
16,2003001,1,Toledo a Huron,940,2003,385,526,macho,maduro,2,comprimento_Q1
17,2003001,1,Toledo a Huron,940,2003,386,609,macho,maduro,2,comprimento_Q1
18,2003001,1,Toledo a Huron,940,2003,387,553,macho,maduro,2,comprimento_Q1
19,2003001,1,Toledo a Huron,940,2003,390,554,macho,maduro,2,comprimento_Q1
20,2003001,1,Toledo a Huron,940,2003,391,614,macho,maduro,2,comprimento_Q1
21,2003001,1,Toledo a Huron,940,2003,391,620,fêmea,maduro,2,comprimento_Q1
22,2003001,1,Toledo a Huron,940,2003,391,665,macho,maduro,2,comprimento_Q1
23,2003001,1,Toledo a Huron,940,2003,391,573,macho,maduro,2,comprimento_Q1
24,2003001,1,Toledo a Huron,940,2003,391,538,macho,maduro,2,comprimento_Q1
